case_id,task,expected_label,clean_request,raw_source_text,family,variant_text,rationale,author,reviewer,semantic_risk,proposed_tier,Lamei_decision
sst2-val-13.oces.paraphrase,sentiment,POSITIVE,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity .","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",oces.paraphrase,"We root for Clara and Paul, and even like them, though perhaps the feeling is closer to pity.","Mixed sentiment ('closer to pity'); the positive label is fragile, so high risk and review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),high,REVIEW,KEEP_REVIEW
sst2-val-13.oces.distractor,sentiment,POSITIVE,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity .","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",oces.distractor,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . The story is set over a single summer.",Mixed-sentiment seed; kept visible even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),high,REVIEW,KEEP_REVIEW
sst2-val-17.oces.paraphrase,sentiment,POSITIVE,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .","audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",oces.paraphrase,"Audrey Tautou has a knack for choosing roles that magnify her outrageous charm, and in this literate French comedy she's as morning-glory exuberant as she was in Amelie.","Strong positive ('outrageous charm', 'exuberant') preserved.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-17.oces.distractor,sentiment,POSITIVE,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .","audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",oces.distractor,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . The comedy is spoken in French.","Clean request used verbatim as the prefix; one unrelated, affect-free mundane_factual clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-52.oces.paraphrase,sentiment,POSITIVE,"mr. tsai is a very original artist in his medium , and what time is it there ?","mr. tsai is a very original artist in his medium , and what time is it there ? ",oces.paraphrase,"Mr. Tsai is a highly original artist in his medium, and so is What Time Is It There?","Positive ('very original') preserved, but the film-title clause is awkward, so review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
sst2-val-52.oces.distractor,sentiment,POSITIVE,"mr. tsai is a very original artist in his medium , and what time is it there ?","mr. tsai is a very original artist in his medium , and what time is it there ? ",oces.distractor,"mr. tsai is a very original artist in his medium , and what time is it there ? The film had its premiere at a festival.",Title-as-clause seed; kept visible even though only a neutral clause is appended.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
sst2-val-109.oces.paraphrase,sentiment,POSITIVE,it 's great escapist fun that recreates a place and time that will never happen again .,it 's great escapist fun that recreates a place and time that will never happen again . ,oces.paraphrase,It's wonderful escapist fun that recreates a place and time that will never come again.,Positive ('great escapist fun') preserved.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-109.oces.distractor,sentiment,POSITIVE,it 's great escapist fun that recreates a place and time that will never happen again .,it 's great escapist fun that recreates a place and time that will never happen again . ,oces.distractor,it 's great escapist fun that recreates a place and time that will never happen again . The soundtrack features a dozen songs.,"Clean request used verbatim as the prefix; one unrelated, affect-free mundane_factual clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-120.oces.paraphrase,sentiment,POSITIVE,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .","warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",oces.paraphrase,"Warm Water Under a Red Bridge is a quirky, poignant Japanese film exploring the fascinating connections between women, water, nature, and sexuality.","Positive ('quirky and poignant', 'fascinating') preserved; lightly compressed.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-120.oces.distractor,sentiment,POSITIVE,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .","warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",oces.distractor,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . The film is roughly two hours long.","Clean request used verbatim as the prefix; one unrelated, affect-free logistical clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-201.oces.paraphrase,sentiment,POSITIVE,"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .","inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . ",oces.paraphrase,"Within the film's conflict-powered plot there's a decent moral trying to get out, but it isn't that - it's the tension that keeps you in your seat.","Positive resolves late ('tension keeps you in your seat'); structure is tricky, so review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
sst2-val-201.oces.distractor,sentiment,POSITIVE,"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .","inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . ",oces.distractor,"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . The film is rated for general audiences.","Clean request used verbatim as the prefix; one unrelated, affect-free administrative clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-227.oces.paraphrase,sentiment,POSITIVE,"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers .","as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ",oces.paraphrase,"As the two leads, Lathan and Diggs are charming and share chemistry both as friends and as lovers.","Positive ('charming', 'chemistry') preserved.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-227.oces.distractor,sentiment,POSITIVE,"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers .","as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ",oces.distractor,"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . The pair appear in most of the film's scenes.","Clean request used verbatim as the prefix; one unrelated, affect-free ordinary_observation clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-248.oces.paraphrase,sentiment,POSITIVE,"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .","a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . ",oces.paraphrase,"A complete world has been presented onscreen, rather than a series of carefully structured plot points building to a pat resolution.","Positive is comparative/implicit ('a full world, not... pat resolution'), so review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
sst2-val-248.oces.distractor,sentiment,POSITIVE,"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .","a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . ",oces.distractor,"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . The film uses several outdoor locations.","Clean request used verbatim as the prefix; one unrelated, affect-free logistical clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-290.oces.paraphrase,sentiment,POSITIVE,"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises","deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises ",oces.paraphrase,"Deliriously funny, fast and loose, easy for newcomers to enjoy, and full of surprises.","Strongly positive list ('deliriously funny', 'full of surprises') preserved.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-290.oces.distractor,sentiment,POSITIVE,"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises","deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises ",oces.distractor,"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises The screening lasted a little under two hours.","Clean request used verbatim as the prefix; one unrelated, affect-free temporal clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-341.oces.paraphrase,sentiment,POSITIVE,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,oces.paraphrase,Anyone with even a passing interest in the events shaping the world beyond their own horizons deserves to see it.,Positive recommendation ('deserves to be seen') preserved; clause reordered.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
sst2-val-341.oces.distractor,sentiment,POSITIVE,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,oces.distractor,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . The documentary includes archival footage.,"Clean request used verbatim as the prefix; one unrelated, affect-free mundane_factual clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
